Comp1-1	Comp1-2	Comp1-3	Mix1	Comp2-1	Comp2-2	Comp2-3	Mix2
0.00000000	0.00267810	0.00051777	118.00000000	0.00000000	0.00271722	0.00051801	266.00000000
0.00000000	0.00264237	0.00050114	100.00000000	0.00000000	0.00268151	0.00050094	300.00000000
0.00000000	0.00260713	0.00048510	115.00000000	0.00000000	0.00264627	0.00048448	304.00000000
0.00000000	0.00257237	0.00046963	111.00000000	0.00000000	0.00261150	0.00046860	302.00000000
0.00000000	0.00253808	0.00045471	125.00000000	0.00000000	0.00257720	0.00045328	307.00000000
0.00000000	0.00250426	0.00044033	110.00000000	0.00000000	0.00254335	0.00043850	289.00000000
0.00000000	0.00247089	0.00042645	121.00000000	0.00000000	0.00250995	0.00042425	260.00000000
0.00000000	0.00243799	0.00041308	122.00000000	0.00000000	0.00247699	0.00041050	277.00000000
0.00000000	0.00240553	0.00040018	113.00000000	0.00000000	0.00244448	0.00039723	267.00000000
0.00000000	0.00237351	0.00038773	104.00000000	0.00000000	0.00241240	0.00038444	276.00000000
0.00000000	0.00234192	0.00037574	110.00000000	0.00000000	0.00238074	0.00037210	251.00000000
0.00000000	0.00231077	0.00036417	122.00000000	0.00000000	0.00234951	0.00036019	288.00000000
0.00000000	0.00228004	0.00035301	100.00000000	0.00000000	0.00231869	0.00034871	288.00000000
0.00000000	0.00224973	0.00034225	94.00000000	0.00000000	0.00228828	0.00033763	253.00000000
0.00000000	0.00221983	0.00033187	114.00000000	0.00000000	0.00225828	0.00032694	249.00000000
0.00000000	0.00219034	0.00032187	101.00000000	0.00000000	0.00222867	0.00031663	275.00000000
0.00000000	0.00216125	0.00031222	98.00000000	0.00000000	0.00219946	0.00030669	253.00000000
0.00000000	0.00213255	0.00030291	107.00000000	0.00000000	0.00217064	0.00029710	251.00000000
0.00000000	0.00210425	0.00029394	98.00000000	0.00000000	0.00214221	0.00028784	250.00000000
0.00000000	0.00207633	0.00028529	116.00000000	0.00000000	0.00211415	0.00027892	238.00000000
0.00000000	0.00204879	0.00027694	108.00000000	0.00000000	0.00208646	0.00027031	245.00000000
0.00000000	0.00202162	0.00026889	82.00000000	0.00000000	0.00205915	0.00026200	255.00000000
0.00000000	0.00199483	0.00026113	97.00000000	0.00000000	0.00203219	0.00025399	230.00000000
0.00000000	0.00196839	0.00025365	101.00000000	0.00000000	0.00200560	0.00024626	226.00000000
0.00000000	0.00194232	0.00024643	85.00000000	0.00000000	0.00197936	0.00023881	224.00000000
0.00000000	0.00191661	0.00023947	90.00000000	0.00000000	0.00195347	0.00023162	223.00000000
0.00000000	0.00189124	0.00023276	94.00000000	0.00000000	0.00192792	0.00022468	226.00000000
0.00000000	0.00186622	0.00022629	88.00000000	0.00000000	0.00190272	0.00021799	216.00000000
0.00000000	0.00184154	0.00022005	90.00000000	0.00000000	0.00187785	0.00021154	212.00000000
0.00000000	0.00181719	0.00021403	83.00000000	0.00000000	0.00185331	0.00020531	226.00000000
0.00000000	0.00179318	0.00020822	84.00000000	0.00000000	0.00182910	0.00019930	191.00000000
0.00000000	0.00176949	0.00020262	72.00000000	0.00000000	0.00180521	0.00019351	202.00000000
0.00000000	0.00174612	0.00019723	89.00000000	0.00000000	0.00178164	0.00018792	206.00000000
